word,frequency,length,probability,information_content
my,1050,2,0.0016183274816666616,9.271280706331412
train,50,5,7.706321341269816e-05,13.663598129110174
arrived,40,7,6.165057073015854e-05,13.985526223997535
in,13282,2,0.02047107201094914,5.610269535660382
hiroshima,4,9,6.165057073015853e-06,17.307454318884897
at,3418,2,0.005268041268892047,7.568517637208759
the,43740,3,0.06741489909342836,3.8907887189494423
awful,14,5,2.157769975555549e-05,15.500099396827293
hour,105,4,0.00016183274816666614,12.593208801218776
of,23010,2,0.035464490812523695,4.817480955773446
a,14398,1,0.022191122934320566,5.493873515895267
m,340,1,0.0005240298512063476,10.898063382747196
i,4902,1,0.007555277442980928,7.048299550018059
had,4052,3,0.00624520281496506,7.32303586008376
planned,37,7,5.7026777925396646e-05,14.098000953255948
to,16738,2,0.02579768132203484,5.276614786743519
go,474,2,0.0007305592631523787,10.418711069986639
hotel,75,5,0.00011559482011904725,13.078635628389017
by,3250,2,0.005009108871825381,7.641230316081718
taxi,12,4,1.849517121904756e-05,15.722491818163741
and,18534,3,0.028565791947818955,5.129567662536104
sleep,57,5,8.785206329047591e-05,13.474564304720156
little,576,6,0.0008877682185142829,10.137529317442585
after,644,5,0.0009925741887555524,9.976537440770281
which,2304,5,0.0035510728740571315,8.137529317442585
mr,399,2,0.0006149644430333313,10.667209382662552
uno,2,3,3.0825285365079266e-06,18.307454318884897
would,1930,5,0.0029746400377301495,8.393069186729456
arrive,11,6,1.6953906950793596e-05,15.8480227002476
pilot,28,5,4.315539951111098e-05,14.500099396827293
me,1013,2,0.001561300703741265,9.32303586008376
around,416,6,0.0006411659355936487,10.607014600743806
but,2894,3,0.00446041879232697,7.808605112353173
there,1972,5,0.003039373136996816,8.362010482506987
he,7482,2,0.011531739255076154,6.438246068334071
was,7211,3,0.01111405663837933,6.4914706922321725
with,4610,4,0.007105228276650771,7.136903283568198
an,2354,2,0.0036281360874698297,8.106555713846454
oregon,5,6,7.706321341269817e-06,16.985526223997535
state,549,5,0.0008461540832714259,10.2067919798797
pennant,1,7,1.5412642682539633e-06,19.307454318884897
his,5159,3,0.007951382359922198,6.974578587732224
hand,359,4,0.0005533138723031729,10.819614285061846
know,511,4,0.0007875860410777752,10.310274837947276
now,911,3,0.0014040917483793605,9.476147075082848
why,294,3,0.00045313169486666525,11.107781974048534
students,127,8,0.00019574056206825334,12.318769632112732
insisted,29,8,4.4696663779364936e-05,14.449473323757326
that,7055,4,0.010873619412531711,6.523023951400272
even,771,4,0.0011883147508238057,9.716867268969864
when,1514,4,0.0023334741021365005,8.743304828899166
told,294,4,0.00045313169486666525,11.107781974048534
them,1218,4,0.0018772598787333275,9.057155900978566
didn,359,4,0.0005533138723031729,10.819614285061846
t,1828,1,0.002817431082368245,8.471403963826829
want,239,4,0.00036836216011269725,11.40658751090415
they,2466,4,0.0038007576855142735,8.03949723448206
knew,336,4,0.0005178647941333317,10.915136896106137
still,513,5,0.0007906685696142832,10.304639303277844
grieving,2,8,3.0825285365079266e-06,18.307454318884897
over,856,4,0.0013193222136253927,9.56598733248375
tragic,21,6,3.236654963333323e-05,14.915136896106137
event,39,5,6.010930646190457e-05,14.02205210002265
felt,310,4,0.00047779192315872864,11.03132991361066
if,1459,2,0.0022487045673825327,8.796690150967008
could,1173,5,0.001807902986661899,9.11146702085639
see,538,3,0.0008292001763206322,10.235991956328274
recovery,16,8,2.4660228292063413e-05,15.307454318884897
spirit,71,6,0.0001094297630460314,13.157707199380216
people,500,6,0.0007706321341269817,10.34167003422281
who,1273,3,0.0019620294134872953,8.99343761498354
hold,103,4,0.00015875021963015823,12.62095379170168
no,1502,2,0.002314978930917453,8.754785221370627
grudge,4,6,6.165057073015853e-06,17.307454318884897
also,620,4,0.0009555838463174573,10.03132991361066
regret,6,6,9.24758560952378e-06,16.722491818163743
pearl,6,5,9.24758560952378e-06,16.722491818163743
harbor,16,6,2.4660228292063413e-05,15.307454318884897
be,4032,2,0.00621437752959998,7.330174395384981
happier,6,7,9.24758560952378e-06,16.722491818163743
understand,100,10,0.00015412642682539632,12.663598129110174
better,239,6,0.00036836216011269725,11.40658751090415
new,775,3,0.0011944798078968215,9.709401818723299
japan,14,5,2.157769975555549e-05,15.500099396827293
were,2328,4,0.0035880632164952265,8.122578975976614
words,193,5,0.00029746400377301494,11.714997281616817
say,367,3,0.0005656439864492046,10.787818066041686
this,3203,4,0.004936669451217445,7.662246236110215
need,194,4,0.0002990052680412689,11.70754147669777
teachers,30,8,4.62379280476189e-05,14.40056372327638
s,3909,1,0.006024802024604743,7.3748704495956074
school,237,6,0.00036527963157618933,11.418711069986639
gave,199,4,0.0003067115893825387,11.67082969834125
small,380,5,0.0005856804219365061,10.73759871055395
gift,15,4,2.311896402380945e-05,15.40056372327638
thank,30,5,4.62379280476189e-05,14.40056372327638
for,5673,3,0.008743592193804734,6.83755817021398
coming,124,6,0.00019111676926349147,12.353258008498022
is,5727,2,0.008826820464290449,6.823890430759804
city,161,4,0.0002481435471888881,11.976537440770281
than,1070,4,0.0016491527670317407,9.244059237596389
it,6147,2,0.009474151456957113,6.721787549152495
before,672,6,0.0010357295882666635,9.915136896106137
minds,28,5,4.315539951111098e-05,14.500099396827293
met,86,3,0.00013254872706984085,12.8811895641828
strong,129,6,0.0001988230906047613,12.296227063461643
determination,30,13,4.62379280476189e-05,14.40056372327638
peace,113,5,0.00017416286231269787,12.48727535646971
understanding,87,13,0.0001340899913380948,12.86451082303617
grateful,20,8,3.082528536507927e-05,14.985526223997535
their,1684,5,0.002595489027739674,8.589777895818502
insight,17,7,2.6201492560317378e-05,15.219991477634558
into,1224,4,0.0018865074643428512,9.050066476192246
experience,179,10,0.00027588630401745946,11.82363854162064
world,446,5,0.0006874038636412676,10.506554418964594
may,808,3,0.0012453415287492025,9.649242836133103
yet,274,3,0.00042230640950158597,11.209422235924372
come,445,4,0.0006858625993730137,10.509792793031139
out,1542,3,0.0023766295016476114,8.716867268969864
tokyo,14,5,2.157769975555549e-05,15.500099396827293
on,4236,2,0.006528795440323789,7.258967444892561
arriving,12,8,1.849517121904756e-05,15.722491818163741
later,267,5,0.0004115175596238082,11.246758387197344
we,1901,2,0.0029299433739507844,8.414911502236345
masu,6,4,9.24758560952378e-06,16.722491818163743
took,306,4,0.0004716268660857128,11.050066476192246
us,469,2,0.0007228529418111088,10.434010206369521
immediately,75,11,0.00011559482011904725,13.078635628389017
her,2471,3,0.0038084640068555436,8.036575023556113
university,89,10,0.00013717251987460275,12.8317208879185
japanese,35,8,5.3944249388888715e-05,14.178171301939932
women,147,5,0.00022656584743333262,12.107781974048534
day,479,3,0.0007382655844936485,10.403572473148717
open,209,4,0.00032212423206507833,11.600095186804015
house,348,5,0.0005363599653523792,10.86451082303617
parents,48,7,7.398068487619024e-05,13.722491818163741
girls,95,5,0.00014642010548412653,12.73759871055395
busy,45,4,6.935689207142836e-05,13.815601222555223
preparing,14,9,2.157769975555549e-05,15.500099396827293
