MOP,language,text,length,rating_list,mean_rating,text_clean,mean_check
MOP2,en,"We've still got the Dower House , and Lincolnshire is lovely in May . ’",12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"we've still got the dower house , and lincolnshire is lovely in may . ’",4.0
MOP2,en,My first real friend was probably a boy called Adam .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,my first real friend was probably a boy called adam .,4.0
MOP2,en,She was wearing denim overalls and carrying a bucket and brush .,11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,she was wearing denim overalls and carrying a bucket and brush .,4.0
MOP2,en,In the next year he had custody of Rochester Castle .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",3.8125,in the next year he had custody of rochester castle .,3.8125
MOP2,en,BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .,22,"[4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1]",3.07692307692,booking is essential for a cycle ride around wirral country park on sunday when the leader will be cheshire ranger barry jackson .,3.076923076923077
MOP2,en,This expression is called the fundamental theorem of Riemannian geometry .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,this expression is called the fundamental theorem of riemannian geometry .,4.0
MOP2,en,"Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"greg hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",4.0
MOP2,en,On appointment to office a new minister will take over responsibility for many departmental policies .,15,"[1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4]",3.4,on appointment to office a new minister will take over responsibility for many departmental policies .,3.4
MOP2,en,"When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",23,"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.75,"when rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",3.75
MOP2,en,Figure shows how the A-measure per unit area varies with radiometer reading .,12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.75,figure shows how the a-measure per unit area varies with radiometer reading .,3.75
MOP2,en,In some pubs fake hand pumps serve gassy beer .,9,"[1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4]",3.0625,in some pubs fake hand pumps serve gassy beer .,3.0625
MOP2,en,Preliminary work began last September following the appointment of two countryside officers who are employed full time on the project .,20,"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4, 4, 4]",3.78571428571,preliminary work began last september following the appointment of two countryside officers who are employed full time on the project .,3.7857142857142856
MOP2,en,"This is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .",22,"[4, 4, 1, 1, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.4375,"this is , of course , only a tendency , and the move away from local policemen to larger , centralised policing may reduce this effect .",3.4375
MOP2,en,Tod features another kind of dream in which he is a woman .,12,"[4, 1, 1, 4, 1, 4, 4, 4, 4, 4, 1, 4]",3.0,tod features another kind of dream in which he is a woman .,3.0
