MOP,language,text,length,rating_list,mean_rating,text_clean,mean_check,unigram_logprob,bigram_logprob,trigram_logprob,bigram_slor,trigram_slor,unigram_avg_logprob,bigram_avg_logprob,trigram_avg_logprob
MOP2,en,"We've still got the Dower House , and Lincolnshire is lovely in May . ’",12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"we've still got the dower house , and lincolnshire is lovely in may . ’",4.0,-34.2073,-36.1444,-35.6599,-1.937100000000001,-1.4526000000000039,-2.850608333333333,-3.012033333333333,-2.9716583333333335
MOP2,en,My first real friend was probably a boy called Adam .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,my first real friend was probably a boy called adam .,4.0,-30.9887,-30.7903,-30.741,0.19840000000000302,0.2477000000000018,-3.0988700000000002,-3.07903,-3.0741
MOP2,en,She was wearing denim overalls and carrying a bucket and brush .,11,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,she was wearing denim overalls and carrying a bucket and brush .,4.0,-35.9848,-29.5909,-29.71,6.393899999999999,6.274799999999999,-3.2713454545454543,-2.6900818181818185,-2.700909090909091
MOP2,en,In the next year he had custody of Rochester Castle .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4]",3.8125,in the next year he had custody of rochester castle .,3.8125,-29.6515,-24.912,-24.7314,4.7395,4.920099999999998,-2.96515,-2.4912,-2.47314
MOP2,en,BOOKING is essential for a cycle ride around Wirral Country Park on Sunday when the leader will be Cheshire ranger Barry Jackson .,22,"[4, 4, 4, 4, 4, 4, 1, 4, 1, 1, 4, 4, 1]",3.07692307692,booking is essential for a cycle ride around wirral country park on sunday when the leader will be cheshire ranger barry jackson .,3.076923076923077,-49.7559,-42.409,-42.5018,7.346899999999998,7.254099999999994,-2.2616318181818182,-1.927681818181818,-1.9319000000000002
MOP2,en,This expression is called the fundamental theorem of Riemannian geometry .,10,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,this expression is called the fundamental theorem of riemannian geometry .,4.0,-32.0894,-29.4763,-29.3317,2.6130999999999993,2.7576999999999963,-3.2089399999999997,-2.9476299999999998,-2.93317
MOP2,en,"Greg Hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",25,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4]",4.0,"greg hocking was one of those rare people who drift into teaching and find themselves , to their own surprise , absolutely cut out for the job .",4.0,-81.0675,-70.7547,-68.4099,10.312799999999996,12.657600000000002,-3.2426999999999997,-2.830188,-2.7363959999999996
MOP2,en,On appointment to office a new minister will take over responsibility for many departmental policies .,15,"[1, 4, 4, 4, 4, 1, 4, 4, 1, 4, 4, 4, 4, 4, 4]",3.4,on appointment to office a new minister will take over responsibility for many departmental policies .,3.4,-53.2021,-48.7309,-49.1573,4.471200000000003,4.044800000000002,-3.546806666666667,-3.2487266666666668,-3.277153333333333
MOP2,en,"When Rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",23,"[4, 4, 4, 4, 4, 4, 1, 4, 4, 4, 4, 4]",3.75,"when rhun in his kindness lent an arm to raise him from his knees , he hung heavily still , clinging to his desperate humility .",3.75,-76.0184,-69.7275,-68.5605,6.2908999999999935,7.457899999999995,-3.3051478260869565,-3.031630434782609,-2.9808913043478262
MOP2,en,Figure shows how the A-measure per unit area varies with radiometer reading .,12,"[4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 1, 4]",3.75,figure shows how the a-measure per unit area varies with radiometer reading .,3.75,-37.9792,-32.4959,-32.6602,5.4833,5.3189999999999955,-3.1649333333333334,-2.7079916666666666,-2.7216833333333335
MOP2,en,In some pubs fake hand pumps serve gassy beer .,9,"[1, 4, 4, 4, 4, 4, 4, 4, 1, 4, 1, 4, 1, 4, 1, 4]",3.0625,in some pubs fake hand pumps serve gassy beer .,3.0625,-36.1872,-36.0704,-35.8465,0.1167999999999978,0.3406999999999982,-4.0207999999999995,-4.007822222222222,-3.982944444444444
